account,migration_interest,reason,latest_notion_record,record_date,notion_stage,owner,notion_url,evidence,psa_account_status,notion_inferred_tigerpaw_status,notion_inferred_tigerpaw_reason,sf_web_migration_status,sf_web_migration_details,matched_records,used_cbr_record
Favorite Office Automation,unknown / needs review,no clear migration-intent signal found,,,,,,,Active - Tigerpaw One,Active - Tigerpaw One,Salesforce PSA Account Status fallback,Unknown,,0,False
Phone & Data Works,want to migrate asap,Salesforce web migration status,Phone & Data Works,2026-08-19T19:56:00.000Z,,,https://app.notion.com/p/Phone-Data-Works-3c1a59b7e7b28075a357c6fade6b11cb,"… done Set due dates and priorities Tony SE Handoff (if needed): If Tony needs to join the demo, create a sub-page on the [CLIENT NAME] meeting series page titled ""SE Demo Brief - [Date]"" Tag @Tony at the top of the page Include a copy-and-pastable summary with: Draft Follow-Up Email: Thank them for …",Active - Tigerpaw One,Active - Tigerpaw One,Salesforce PSA Account Status fallback,Want to migrate asap,"Interested in migrating, but is worried about cost & implementation",3,False
Bri-Tech Inc.,want to migrate / timeline unknown,migration interest or demo language; no firm urgent timeline,Bri-Tech,2026-08-19T17:00:00.000Z,,,https://app.notion.com/p/Bri-Tech-3c1a59b7e7b28003be2ac9d5c79b45ad,"Bri-Tech Client review of TigerPaw pain points, demo preview, schedule follow‑up demo week of 8th. 2026-08-19 Agenda Follow-up Tasks Post-Discovery Prompt [CLIENT NAME] = (insert client name) I just completed a [Discovery Call] with [CL…",Active - Tigerpaw One,Active - Tigerpaw One,Salesforce PSA Account Status fallback,Want to migrate / timeline unknown,they do not have the time right now as of 07/2026,1,False
Tele Link Communications,want to migrate asap,Salesforce web migration status,Tele Link Communications - CBR,2026-06-22T14:30:00.000Z,1 - Discovery Scheduled,,https://app.notion.com/p/Tele-Link-Communications-CBR-387a59b7e7b280bc8061fb3a42f9c67b,"… done Set due dates and priorities Tony SE Handoff (if needed): If Tony needs to join the demo, create a sub-page on the [CLIENT NAME] meeting series page titled ""SE Demo Brief - [Date]"" Tag @Tony at the top of the page Include a copy-and-pastable summary with: Draft Follow-Up Email: Thank them for …",Active - Tigerpaw One,Active - Tigerpaw One,Salesforce PSA Account Status fallback,Want to migrate asap,,1,True
"Sky Communications, Inc.",do not want to migrate,Salesforce web migration status,Sky Communications,2026-08-18T19:57:00.000Z,,,https://app.notion.com/p/Sky-Communications-3c0a59b7e7b28063a78be89167d7dced,Sky Communications Re-engage support to resolve Kelly's incomplete cloud migration and plan next steps. 2026-08-18 Agenda Follow-up Tasks Post-Discovery Prompt [CLIENT NAME] = (insert client name) I just completed a [Discovery Call] with [CLIENT NAME]. Please help me with the follow…,Active - Tigerpaw One,Active - Tigerpaw One,Salesforce PSA Account Status fallback,Do not want to migrate,,2,False
BlueWire Communications,want to migrate asap,Salesforce web migration status,BlueWire Communications,2026-08-18T14:55:00.000Z,,,https://app.notion.com/p/BlueWire-Communications-3c0a59b7e7b280718c32c3eee00c711c,BlueWire Communications Discussed TigerPoll usage and demo readiness. 2026-08-18 Agenda Follow-up Tasks Post-Discovery Prompt [CLIENT NAME] = (insert client name) I just completed a [Discovery Call] with [CLIENT NAME]. Please help me with the following: Update/Cre…,Active - Unleashed,Active - Unleashed,Salesforce PSA Account Status fallback,Want to migrate asap,"Had meeting with Deta, interested in getting migrated",1,False
E Z Tel Inc,want to migrate / timeline unknown,Salesforce web migration status,Custom Tel - CBR,2026-05-06T14:28:00.000Z,1 - Discovery Scheduled,,https://app.notion.com/p/Custom-Tel-CBR-358a59b7e7b2801eb93ad6bb443def7e,"… done Set due dates and priorities Tony SE Handoff (if needed): If Tony needs to join the demo, create a sub-page on the [CLIENT NAME] meeting series page titled ""SE Demo Brief - [Date]"" Tag @Tony at the top of the page Include a copy-and-pastable summary with: Draft Follow-Up Email: Thank them for …",Active - Tigerpaw One,Active - Tigerpaw One,Salesforce PSA Account Status fallback,Want to migrate / timeline unknown,TP Unleashed- waiting on avalara tax integration,3,True
"David Carroll Associates, Inc.",want to migrate / timeline unknown,migration interest or demo language; no firm urgent timeline,David Carroll & Associates,2026-08-11T14:55:00.000Z,,,https://app.notion.com/p/David-Carroll-Associates-3b9a59b7e7b280999011ee43962ea803,"David Carroll & Associates Discussed migration to Rev.io, API access, demo scheduling, and MCP feasibility. 2026-08-14 Agenda Follow-up Tasks 2026-08-11 Agenda Follow-up Tasks Post-Discovery Prompt [CLIENT NAME] = (insert client name) I just compl…",Active - Tigerpaw One,Active - Tigerpaw One,Salesforce PSA Account Status fallback,Want to migrate / timeline unknown,"They have a large amount of in house integrations built, in talks with them migrating but needs to discuss with our team on best ways to migrate over",1,False
"Paramount Security Partners, LLC",unknown / needs review,no clear migration-intent signal found,"Paramount Security Partners, LLC - CBR",2026-08-13T15:33:00.000Z,1 - Discovery Scheduled,,https://app.notion.com/p/Paramount-Security-Partners-LLC-CBR-3bba59b7e7b280fb83acfd306afe57f0,"… done Set due dates and priorities Tony SE Handoff (if needed): If Tony needs to join the demo, create a sub-page on the [CLIENT NAME] meeting series page titled ""SE Demo Brief - [Date]"" Tag @Tony at the top of the page Include a copy-and-pastable summary with: Draft Follow-Up Email: Thank them for …",Active - Tigerpaw One,Active - Tigerpaw One,Salesforce PSA Account Status fallback,Unknown,,2,True
Communication Innovators,want to migrate asap,Salesforce web migration status,Communication Innovators,2026-08-13T17:52:00.000Z,,,https://app.notion.com/p/Communication-Innovators-3bba59b7e7b2805f85dfcdaa5d27f210,"Communication Innovators Demo scheduled for Aug 27 at 2 PM ET; discussed integration pains, action items, and next steps. 2026-08-13 Agenda Follow-up Tasks Post-Discovery Prompt [CLIENT NAME] = (insert client name) I just completed a […",Active - Unleashed,Active - Unleashed,Salesforce PSA Account Status fallback,Want to migrate asap,,1,False
Communication Resources,unknown / needs review,no clear migration-intent signal found,Communication Resources,2026-07-08T17:56:00.000Z,,,https://app.notion.com/p/Communication-Resources-397a59b7e7b280bd86c4f345a22fbf07,"… done Set due dates and priorities Tony SE Handoff (if needed): If Tony needs to join the demo, create a sub-page on the [CLIENT NAME] meeting series page titled ""SE Demo Brief - [Date]"" Tag @Tony at the top of the page Include a copy-and-pastable summary with: Draft Follow-Up Email: Thank them for …",,Unknown,No clear hosting signal in latest Notion notes,,,1,False
TIPS Resources,unknown / needs review,no clear migration-intent signal found,,,,,,,Active - Unleashed,Active - Unleashed,Salesforce PSA Account Status fallback,Unknown,,0,False
Empire Communication Systems Inc,want to migrate / timeline unknown,migration interest or demo language; no firm urgent timeline,Empire Communication Systems - CBR,2026-08-07T14:58:00.000Z,1 - Discovery Scheduled,,https://app.notion.com/p/Empire-Communication-Systems-CBR-3b5a59b7e7b28047aea6ce7fc833f44c,"Empire Communication Systems - CBR Schedule demo mid‑September after Lisa’s vacation, follow‑up email post‑Labor Day. 2026-08-07 Agenda Follow-up Tasks Post-Discovery Prompt [CLIENT NAME] = (insert client name) I just completed a [Discovery Call] with [C…",Active - Tigerpaw One,Active - Tigerpaw One,Salesforce PSA Account Status fallback,Want to migrate / timeline unknown,8/7 - Met with Justin and client.  They are interested in migrating and we are planning to schedule a demo when they are back from vacation 2nd or 3rd week of September.  Follow up date set for 9/8,4,True
North American Telecommunications Group,want to migrate / timeline unknown,migration interest or demo language; no firm urgent timeline,North American,2026-05-20T21:04:00.000Z,,,https://app.notion.com/p/North-American-366a59b7e7b28066a917ca103b93b6a4,"North American Discussed PSA migration, licensing counts, timelines, and payment processing. 2026-08-07 Agenda Follow-up Tasks 2026-05-20 Agenda Follow-up Tasks Post-Discovery Prompt [CLIENT NAME] = (insert client name) I just completed a …",Active - Tigerpaw One,Active - Tigerpaw One,Salesforce PSA Account Status fallback,Want to migrate asap,,1,False
Accent Voice,want to migrate / timeline unknown,migration interest or demo language; no firm urgent timeline,Accent Voice,2026-08-05T16:57:00.000Z,,,https://app.notion.com/p/Accent-Voice-3b3a59b7e7b28081afb5c1384ea57187,"Accent Voice Discussed migration, pricing, onboarding, sandbox access, and Sage integration. 2026-08-05 Agenda Follow-up Tasks Post-Discovery Prompt [CLIENT NAME] = (insert client name) I just completed a [Discovery Call] with [CLIEN…",Active - Tigerpaw One,Active - Tigerpaw One,Salesforce PSA Account Status fallback,Unknown,At risk and unresponsive as of 1/2026,1,False
M D Communications,unknown / needs review,no clear migration-intent signal found,,,,,,,Active - Tigerpaw One,Active - Tigerpaw One,Salesforce PSA Account Status fallback,Unknown,,0,False
Digitel Systems Inc.,unknown / needs review,no clear migration-intent signal found,Digitel Systems,2026-08-04T17:47:00.000Z,,,https://app.notion.com/p/Digitel-Systems-3b2a59b7e7b28079af93c95c509f7ea5,"Digitel Systems Demo covered new platform features, migration scope, pricing, AI tools, and next steps. 2026-08-04 Agenda Follow-up Tasks Post-Discovery Prompt [CLIENT NAME] = (insert client name) I just completed a [Discovery…",Active - Unleashed,Active - Unleashed,Salesforce PSA Account Status fallback,Unknown,,1,False
Memory Lane Computers,want to migrate / timeline unknown,migration interest or demo language; no firm urgent timeline,Memory Lane Computers - CBR,2026-08-04T14:58:00.000Z,1 - Discovery Scheduled,,https://app.notion.com/p/Memory-Lane-Computers-CBR-3b2a59b7e7b280c4b2e2d69e5a80a421,"Memory Lane Computers - CBR Demo set for Tue 18th to discuss migration, payment integration, and AI features. 2026-08-04 Agenda Follow-up Tasks Post-Discovery Prompt [CLIENT NAME] = (insert client name) I just completed a [Discovery Call]…",Active - Unleashed,Active - Unleashed,Salesforce PSA Account Status fallback,Unknown,07/09/26 - LVM to Lana. Following up with Email.,2,True
MicroMed,want to migrate asap,Salesforce web migration status,Micromed,2026-08-04T14:56:00.000Z,,,https://app.notion.com/p/Micromed-3b2a59b7e7b2806e83bbd3f3886fa005,"Micromed Tailored Micromed demo planning, address inventory/ticket issues, involve Rob Rhodes. 2026-08-04 Agenda Follow-up Tasks Post-Discovery Prompt [CLIENT NAME] = (insert client name) I just completed a [Discovery Call] with [CLIENT …",Active - Unleashed,Active - Unleashed,Salesforce PSA Account Status fallback,Want to migrate asap,,1,False
Raytec Systems,unknown / needs review,no clear migration-intent signal found,Raytec Systems,2026-08-12T19:54:00.000Z,,,https://app.notion.com/p/Raytec-Systems-3baa59b7e7b2804a972de74f914fcb36,"Raytec Systems Kickoff call covering migration from TigerPaw to Rev.io, action items assigned. 2026-08-12 Agenda Follow-up Tasks Post-Discovery Prompt [CLIENT NAME] = (insert client name) I just completed a [Discovery Call] with [CLIENT NAME]. Ple…",Active - Unleashed,Active - Unleashed,Salesforce PSA Account Status fallback,Migration in progress,Currently in onboarding,2,False
Madrona Digital,want to migrate / timeline unknown,Salesforce web migration status,Madrona Digital,2026-07-31T15:31:00.000Z,,,https://app.notion.com/p/Madrona-Digital-3aea59b7e7b280fea342ec6c95303998,"Madrona Digital Demo of Rev.io platform covering AI assistant, ticketing, quoting, dispatch, and next‑step actions. 2026-08-05 Agenda Follow-up Tasks 2026-07-31 Agenda Follow-up Tasks Using vectorworks and would like that inte…",Active - Tigerpaw One,Active - Tigerpaw One,Salesforce PSA Account Status fallback,Want to migrate / timeline unknown,,1,False
MPS Works,want to migrate asap,Salesforce web migration status,MPS Works - PSA Discussion ,2026-05-27T16:56:00.000Z,,,https://app.notion.com/p/MPS-Works-PSA-Discussion-36da59b7e7b2800c918eee94c5b09a9a,MPS Works - PSA Discussion Meter billing & QuickBooks desktop timelines pending; migration on hold until features confirmed. 2026-05-27 Agenda Follow-up Tasks Post-Discovery Prompt [CLIENT NAME] = (insert client name) I just completed a [Discovery Call] with [CLIENT NAME]. Please help me wi…,Active - Tigerpaw One,Active - Tigerpaw One,Salesforce PSA Account Status fallback,Want to migrate asap,"Wants to migrate but waiting on Managed Print Services feature to be available.  Client is open to migrating to Web for Ticketing and keeping billing in TP until functionality is available.  Has asked about moving their current QBD integration in TP from QBD to QBO.  Was waiting to change to QBO until they move to Web, but if they are not moving their billing, they need to figure out QBO.",1,False
streamWrite Connect,want to migrate / timeline unknown,Salesforce web migration status,,,,,,,Active - Tigerpaw One,Active - Tigerpaw One,Salesforce PSA Account Status fallback,Want to migrate / timeline unknown,,0,False
E & H Integrated Systems,want to migrate / timeline unknown,Salesforce web migration status,E & H Integrated Systems- CBR,2026-07-29T17:57:00.000Z,1 - Discovery Scheduled,,https://app.notion.com/p/E-H-Integrated-Systems-CBR-3aca59b7e7b2803e9721cb3866322dc1,"E & H Integrated Systems- CBR Intro review, demo set, biannual reviews promised, platform migration discussed. 2026-07-29 Agenda Follow-up Tasks Post-Discovery Prompt [CLIENT NAME] = (insert client name) I just completed a [Discovery Call] with [CLIENT N…",Active - Tigerpaw One,Active - Tigerpaw One,Salesforce PSA Account Status fallback,Want to migrate / timeline unknown,,2,True
"Strategic Communications, LLC",want to migrate / timeline unknown,migration interest or demo language; no firm urgent timeline,Strategic Communications- CBR,2026-07-28T18:59:00.000Z,1 - Discovery Scheduled,,https://app.notion.com/p/Strategic-Communications-CBR-3aba59b7e7b280648c41c58f78217f37,"Strategic Communications- CBR Strategic CBR review: discuss TigerPaw issues, demo new Rev.io platform, plan migration. 2026-07-28 Agenda Follow-up Tasks Post-Discovery Prompt [CLIENT NAME] = (insert client name) I just completed a [Discovery Call] with [CLIENT NAME]. Pl…",Active - Tigerpaw One,Active - Tigerpaw One,Salesforce PSA Account Status fallback,Unknown,client is typically non responsive to proactive outreach,1,True
Eastern DataComm,unknown / needs review,no clear migration-intent signal found,Eastern Datacomm,2026-07-28T17:57:00.000Z,,,https://app.notion.com/p/Eastern-Datacomm-3aba59b7e7b2800393d4c8dc84152eb3,"… done Set due dates and priorities Tony SE Handoff (if needed): If Tony needs to join the demo, create a sub-page on the [CLIENT NAME] meeting series page titled ""SE Demo Brief - [Date]"" Tag @Tony at the top of the page Include a copy-and-pastable summary with: Draft Follow-Up Email: Thank them for …",Active - Unleashed,Active - Unleashed,Salesforce PSA Account Status fallback,Migration in progress,paused based on functionality,1,False
Watson Communications Corp.,unknown / needs review,no clear migration-intent signal found,Watson Communications Corp.- CBR,2026-07-27T19:04:00.000Z,1 - Discovery Scheduled,,https://app.notion.com/p/Watson-Communications-Corp-CBR-3aaa59b7e7b280c9a4ccfb380f3772d6,"Watson Communications Corp.- CBR Discovery call reviewing pain points, demo plans, and next steps. 2026-07-27 Agenda Follow-up Tasks Post-Discovery Prompt [CLIENT NAME] = (insert client name) I just completed a [Discovery Call] with [CLIENT NAME]. Please help me with the following…",Active - Tigerpaw One,Active - Tigerpaw One,Salesforce PSA Account Status fallback,Unknown,,3,True
Network Datacom Solutions,want to migrate / timeline unknown,migration interest or demo language; no firm urgent timeline,Network Datacom Solutions,2026-07-27T15:34:00.000Z,,,https://app.notion.com/p/Network-Datacom-Solutions-3aaa59b7e7b280218f3fff902746bf54,"Network Datacom Solutions Reviewed migration plan, pricing, demo access; set next steps for data cleanup and quote. 2026-08-18 Agenda Follow-up Tasks 2026-08-06 Agenda Follow-up Tasks 2026-08-03 Agenda Follow-up Tasks 2026-07-27 Agenda Follow-up…",,Unknown,No clear hosting signal in latest Notion notes,,,1,False
Tri-Tec Communications,want to migrate / timeline unknown,Salesforce web migration status,,,,,,,Active - Unleashed,Active - Unleashed,Salesforce PSA Account Status fallback,Want to migrate / timeline unknown,Need password vault and ability to migrate quotes from Tigerpaw to Rev.io,0,False
Peak Communication,unknown / needs review,no clear migration-intent signal found,Peak Communications,2026-07-22T13:21:00.000Z,,,https://app.notion.com/p/Peak-Communications-3a5a59b7e7b28023b5a1c1f68446ad36,"Peak Communications Short meeting; demo missed, need to reschedule with Mike. 2026-07-22 Agenda Follow-up Tasks Post-Discovery Prompt [CLIENT NAME] = (insert client name) I just completed a [Discovery Call] with [CLIENT NAME]. Please help me wit…",Active - Unleashed,Active - Unleashed,Salesforce PSA Account Status fallback,,,1,False
American Business Phones,want to migrate / timeline unknown,migration interest or demo language; no firm urgent timeline,American Business Phones,2026-07-21T18:27:00.000Z,,,https://app.notion.com/p/American-Business-Phones-3a4a59b7e7b2809c9628dabb1b46d479,"American Business Phones Discussed migration scope, pricing, implementation timeline, and next steps for data migration. 2026-08-11 Agenda Follow-up Tasks 2026-07-28 Agenda Follow-up Tasks 2026-07-21 Agenda Follow-up Tasks Post-Discovery Prompt …",,Unknown,No clear hosting signal in latest Notion notes,,,1,False
"Techoptics, Inc",want to migrate / timeline unknown,migration interest or demo language; no firm urgent timeline,Techoptics: CBR,2026-07-21T12:56:00.000Z,1 - Discovery Scheduled,,https://app.notion.com/p/Techoptics-CBR-3a4a59b7e7b28070b199fbe07b36669d,"Techoptics: CBR Discussed TigerPaw usage, new platform demo, and next steps for follow‑up. 2026-07-21 Agenda Follow-up Tasks Post-Discovery Prompt [CLIENT NAME] = (insert client name) I just completed a [Discovery Call] with [CLIENT NAM…",Active - Tigerpaw One,Active - Tigerpaw One,Salesforce PSA Account Status fallback,Unknown,,1,True
Rel Comm,unknown / needs review,no clear migration-intent signal found,Rel Comm,2026-07-20T18:59:00.000Z,,,https://app.notion.com/p/Rel-Comm-3a3a59b7e7b28077bcd9dcb876e0c8f5,"… done Set due dates and priorities Tony SE Handoff (if needed): If Tony needs to join the demo, create a sub-page on the [CLIENT NAME] meeting series page titled ""SE Demo Brief - [Date]"" Tag @Tony at the top of the page Include a copy-and-pastable summary with: Draft Follow-Up Email: Thank them for …",Active - Unleashed,Active - Unleashed,Salesforce PSA Account Status fallback,Migration in progress,,1,False
Richmond Security,want to migrate / timeline unknown,Salesforce web migration status,Richmond Security,2026-07-20T13:14:00.000Z,,,https://app.notion.com/p/Richmond-Security-3a3a59b7e7b28037831fc97216f72988,"… done Set due dates and priorities Tony SE Handoff (if needed): If Tony needs to join the demo, create a sub-page on the [CLIENT NAME] meeting series page titled ""SE Demo Brief - [Date]"" Tag @Tony at the top of the page Include a copy-and-pastable summary with: Draft Follow-Up Email: Thank them for …",Active - Tigerpaw One,Active - Tigerpaw One,Salesforce PSA Account Status fallback,Want to migrate / timeline unknown,,1,False
Omidi Enterprises,unknown / needs review,no clear migration-intent signal found,,,,,,,Active - Unleashed,Active - Unleashed,Salesforce PSA Account Status fallback,Migration in progress,Won in July 2026,0,False
Ameritel Voice and Data,do not want to migrate,Salesforce web migration status,Ameritel Voice and Data - CBR,2026-06-30T16:56:00.000Z,1 - Discovery Scheduled,,https://app.notion.com/p/Ameritel-Voice-and-Data-CBR-38fa59b7e7b28007bfbec4ab510edb23,"… done Set due dates and priorities Tony SE Handoff (if needed): If Tony needs to join the demo, create a sub-page on the [CLIENT NAME] meeting series page titled ""SE Demo Brief - [Date]"" Tag @Tony at the top of the page Include a copy-and-pastable summary with: Draft Follow-Up Email: Thank them for …",Active - Unleashed,Active - Unleashed,Salesforce PSA Account Status fallback,Do not want to migrate,"They use us primarily for Tickets and Invoicing.
PSA too much for Greg, both financially & functionally.",1,True
BCS Voice and Data,want to migrate asap,Salesforce web migration status,BCS Voice & Data,2026-07-16T18:54:00.000Z,,,https://app.notion.com/p/BCS-Voice-Data-39fa59b7e7b280d890e7d996f59b5e64,"BCS Voice & Data Discussed platform demo, inactive parts, GL code mapping, and next deep‑dive with Tony. 2026-07-24 Agenda Follow-up Tasks 2026-07-16 Agenda Follow-up Tasks Post-Discovery Prompt [CLIENT NAME] = (insert client name) I just complet…",Active - Unleashed,Active - Unleashed,Salesforce PSA Account Status fallback,Want to migrate asap,Lots of hosted issues - waiting on functionality,1,False
Doing Things Simply,want to migrate / timeline unknown,migration interest or demo language; no firm urgent timeline,Doing Things Simply,2026-07-16T18:59:00.000Z,,,https://app.notion.com/p/Doing-Things-Simply-39fa59b7e7b280059659fa08e715f063,"Doing Things Simply Stabilize TigerPaw, gather user breakdown, and plan Rev.io migration demo. Deep Dive Agenda Follow-up Tasks CBR Agenda Follow-up Tasks Post-Discovery Prompt [CLIENT NAME] = (insert client name) I just completed a [Discov…",Active - Tigerpaw One,Active - Tigerpaw One,Salesforce PSA Account Status fallback,Do not want to migrate,,1,False
The Phone Experts - Communications Ltd.,want to migrate / timeline unknown,Salesforce web migration status,Home Technology Experts,2026-07-21T15:00:00.000Z,,,https://app.notion.com/p/Home-Technology-Experts-3a4a59b7e7b280ad94e0d7cd2c4378a5,"Home Technology Experts Discovery call; demo set for Mon 27th; discussed integration, inventory, and CRM needs. 2026-07-21 Agenda Follow-up Tasks Post-Discovery Prompt [CLIENT NAME] = (insert client name) I just completed a [Discovery Call] with [CLI…",Active - Unleashed,Active - Unleashed,Salesforce PSA Account Status fallback,Want to migrate / timeline unknown,,6,False
Triware Technologies Incorporated,want to migrate / timeline unknown,migration interest or demo language; no firm urgent timeline,Triware Technologies Incorporated - CBR,2026-07-15T16:50:00.000Z,1 - Discovery Scheduled,,https://app.notion.com/p/Triware-Technologies-Incorporated-CBR-39ea59b7e7b280699175c9f9fe940468,"Triware Technologies Incorporated - CBR Discussed PSA Web demo, migration details, pricing, and plan demo for mid‑August. 2026-07-15 Agenda Follow-up Tasks Post-Discovery Prompt [CLIENT NAME] = (insert client name) I just completed a [Discovery Call] with [CLIENT NAME…",Active - Tigerpaw One,Active - Tigerpaw One,Salesforce PSA Account Status fallback,Want to migrate / timeline unknown,interested but not eager to move right now - does not want to be one of the first,1,True
Datapro Solutions,unknown / needs review,no clear migration-intent signal found,,,,,,,Active - Tigerpaw One,Active - Tigerpaw One,Salesforce PSA Account Status fallback,Unknown,,0,False
Tele-Plus Corporation,want to migrate / timeline unknown,migration interest or demo language; no firm urgent timeline,Tele-Plus,2026-07-13T14:02:00.000Z,,,https://app.notion.com/p/Tele-Plus-39ca59b7e7b280129016d82f6d9a4a5c,"… Rev.io mobile app, Sage/QuickBooks integration, multi‑account setup, scheduled follow‑up demo with Tony. 2026-08-03 Agenda Follow-up Tasks 2026-07-24 Agenda Follow-up Tasks 2026-07-13 Agenda Follow-up Tasks Post-Discovery Prompt [CLIENT NAME] = (insert client name) I just completed a [Discovery Cal…",Active - Tigerpaw One,Active - Tigerpaw One,Salesforce PSA Account Status fallback,Want to migrate / timeline unknown,Do not want to migrate until multiple clients have been migrated.,1,False
