client,state,closed_won_mrr,first_close_date,last_close_date,opp_count,opportunity_names,owners,product_types,sf_account_status,sf_churn_reason,sf_churn_detail,onboarding_status,onboarding_sales_rep,solutions_analyst,onboarding_mrr,date_sold_onboarding,date_canceled,onboarding_type,notes,sf_account_url,notion_url,opportunity_urls
Growth Management Solutions,WI,400.0,2025-07-03,2025-07-03,1,Growth Management Solutions,Matt Salin,PSA 2.0,Active - Web,Failed Onboarding,,Canceled - Client Business,Matt Salin,Tony Mehner,400,2025-07-03,2025-09-04,SA Led,Canceled due to his business,https://rev-io.lightning.force.com/lightning/r/Account/001PX00000UeJhsYAF/view,https://www.notion.so/37d6a042ca0f4374935b422dd957c56d,https://rev-io.lightning.force.com/lightning/r/Opportunity/006PX00000NtLrOYAV/view
JONROG technology,TN,400.0,2025-09-09,2025-09-09,1,JONROG technology,Connor Flynn,PSA 2.0,,,,Canceled - Functionality,Connor Flynn,Jeremy Adams,400,2025-09-09,2025-09-18,Self-Serve,now down to only 3 seats - actually cancelled last November!,https://rev-io.lightning.force.com/lightning/r/Account/001PX000007iSB5YAM/view,https://www.notion.so/83ba40d67f614e27b3b5526155e288b0,https://rev-io.lightning.force.com/lightning/r/Opportunity/006PX00000QB1zVYAT/view
Alarmtech,ON,400.0,2025-07-10,2025-07-10,1,Alarmtech,Joseph Abarno,PSA 2.0,Active - Web,Software Limitations,"First and most importantly, e-forms, PDF creation, data entry. For each monitored client, they have a contract that links directly to their account number. 
This information is vital for each customer. I am aware that you have similar fields, however I cannot have multiple sites per single client. I must create new parent/child accounts.

 

Under the service / contracts tab, I can see the recurring contract. What I cannot see, and this is what is fundamental, what system number that contract is assigned to. Under my customer / service / contract tab, contact 1418 is assigned to me. However, when I open it, I cannot see system number (01-08-7609), zoning (22 active monitored zones with various levels of action patterns), or keyholders (who to call in an emergency).

 

The backbone of every single alarm company is the recurring services. Each recurring service needs to have the keyholder and zoning information. This is essential for communication with the client, but more importantly, the central station. If there is a life safety device triggered, they need to know who to call, where the call came from, and what zone was triggered. Right now, with the current way REV.IO works, I would have to re-type all that information into a custom PDF to send to my station to build. This would be a major duplication of work that I will not do when my current software is built for that purpose.

 

With my current software, I can create customized forms that pull data from the customer, site, and system tabs. Every single variable that I can enter under any of those tabs can then be pulled automatically into an e-form that I can download.

 

Additionally, when a customer needs an insurance certificate to indicate coverage, I should be able to export that same zoning list to a new custom form to automatically email the customer.

E-forms are the easiest way to pull data from any data point on the customer, site, and system and put into one convenient PDF. Right now, I used e-forms for: collecting payment information securely, contracts that are NOT attached with a quote/proposal, contracts for 3rd party monitoring providers, insurance certificates, parts packing list for job boxes, and system updates to the central station. While your system can ask clients to choose their preferred option between a and b, that does not outweigh the additional features we would need.

 

When invoicing a client, the invoicing parameters are not customisable enough. Each invoice needs my company operating name, legal name, address, and HST (tax) number. For commercial clients, I also need a field for a purchase order number. Right now, you can choose memo OR address of the company. This does not work for me. Taxes cannot be included with surcharges. When you look at charges, even for non-recurring items you have a start and end date. I can say with a high percent of certainty that almost every client will call me asking why.",Canceled - Functionality,Joe Abarno,Nicole Hills,400,2025-07-10,2025-09-25,SA Led,Client cancelled due to functionality,https://rev-io.lightning.force.com/lightning/r/Account/001PX00000Bw1IMYAZ/view,https://www.notion.so/27d045c394d94d35b7b36c8764fb0c5e,https://rev-io.lightning.force.com/lightning/r/Opportunity/006PX00000NlOKzYAN/view
192 Group,ON,400.0,2025-07-08,2025-07-08,1,192 Group,Joseph Abarno,PSA 2.0,,,,Canceled - Client Business,Joe Abarno,Tony Mehner,400,2025-07-08,2025-10-01,SA Led,Merger fell thru,https://rev-io.lightning.force.com/lightning/r/Account/001PX00000UiErCYAV/view,https://www.notion.so/ecb7e11ad01e4488a9d504602076c632,https://rev-io.lightning.force.com/lightning/r/Opportunity/006PX00000O3fgjYAB/view
Trails Country Security,TX,400.0,2025-07-11,2025-07-11,1,Trails County Security,Andy Whisenant,PSA 2.0,,Software Limitations,"Email acceptance for tickets was not available
Workflows were not responding back to the creator when a ticket was created
SMS workflows were not working
Quickbooks Online was not syncing",Canceled - Functionality,Andy Whisenant,Kegan Ehlers,400,2025-07-15,2025-10-08,SA Led,,https://rev-io.lightning.force.com/lightning/r/Account/001PX0000078I9jYAE/view,https://www.notion.so/7a1b2f49033046e59581ff6aa3149b81,https://rev-io.lightning.force.com/lightning/r/Opportunity/006PX00000O7PDZYA3/view
Sound Design Inc,IL,599.0,2025-09-29,2025-09-29,1,Sound Designs 3,Jake Mitchell,PSA 2.0,,Sales Expectations,Absolutely psycho. Canceled because we didn’t respond to an email in onboarding within 24 hours. Very clearly looking for a reason to cancel and wouldn’t be honest on the real reason why. Not sure if we would want to do business with her based on how she treats vendors.,Canceled - Client Business,Jake Mitchell,Nicole Hills,599,2025-09-29,2025-10-17,Self-Serve,Client cancelled,https://rev-io.lightning.force.com/lightning/r/Account/001PX00000BMB0FYAX/view,https://www.notion.so/11652b1ad7ec4c44be3bd36caec928fc,https://rev-io.lightning.force.com/lightning/r/Opportunity/006PX00000QC8pFYAT/view
Artistic Sound and Lighting,ON,500.0,2025-07-17,2025-07-17,1,Artistic Sound and Lighting 2,Joseph Abarno,PSA 2.0,Active - Web,Failed Onboarding,incomplete projects module,Canceled - Functionality,Joe Abarno,Tony Mehner,500,2025-07-17,2025-10-23,SA Led,Techs didn’t like logging in twice,https://rev-io.lightning.force.com/lightning/r/Account/001PX00000UiGZGYA3/view,https://www.notion.so/60ce0ceb878447698bad241ca29b029b,https://rev-io.lightning.force.com/lightning/r/Opportunity/006PX00000OS7DfYAL/view
Thumb Alarm Systems Inc,MI,1040.0,2025-08-28,2025-08-28,1,Thumb Alarm Systems 2,Jake Mitchell,PSA 2.0,,,,Canceled - Functionality,Jake Mitchell,Jeremy Adams,1040,2025-08-28,2025-10-31,Self-Serve,,https://rev-io.lightning.force.com/lightning/r/Account/0016O00003ee5HrQAI/view,https://www.notion.so/cc40195691a2414d992626860a04a47e,https://rev-io.lightning.force.com/lightning/r/Opportunity/006PX00000PRnuHYAT/view
Audio Video Integrations,SD,460.0,2025-09-11,2025-09-11,1,Audio Video Integrations,Patrick Davies,PSA 2.0,,Declining Business,Jeremy said they went back to the solution the were using previously which is more manual but works for them at their size. Said if was a combination of QB and some customer email tools. Sounded like it came down to cost and them being too small. I asked if he had any poor experiences working with our team and he said no but was pretty short.,Canceled - Client Business,Patrick Davies,Jeremy Adams,460,2025-09-11,2025-11-11,Self-Serve,Client - No Needed,https://rev-io.lightning.force.com/lightning/r/Account/001PX00000IdiejYAB/view,https://www.notion.so/f6170f37bfae49b98b4a745cd63726cb,https://rev-io.lightning.force.com/lightning/r/Opportunity/006PX00000PzROHYA3/view
Entrance Technologies,MI,400.0,2025-09-30,2025-09-30,1,Entrance Technologies 2,Jake Mitchell,PSA 2.0,,Failed Onboarding,"Spoke on the phone: “Sales process was a slam dunk”
He had no interest in doing on-hold even though he’s not moving to another platform. Open to taking another swing in the future but wants to cut ties.
Originally saw Tigerpaw and it had a lot of functionality and liked the updated interface.
Mentioned that the in onboarding Heidi would say the software would work a certain way and then it didn’t. Felt like he was learning the platform with her.
""Long story short the onboarding was rough. I felt me time was wasted and that we were figuring the software out together. Even then, I can figure things out on my own fairly quickly and yet some things just weren't populating when they should, or where I would expect them to be. Given the struggles early on, I wasn't prepared to commit to this solution. Entering credit card information on our end for processing payments (We had a second meeting yesterday. It still was not working but after the team made some background changes it then worked.)Unable to see any invoices that have been created in the Invoice Management section of the software. Is there another area in the software I should be looking to review invoices that have been created and sent?When sending invoices via email I have selected a created billing profile that offers the customer the ability to pay via ACH or CC. When the email arrives there is no link or instructions in the email on how they can navigate to make their payment. This is a must for us to continue with this solution.We also need to be able to create those work flows so that customers receive automated reminders on invoices at the one week mark, one month mark, etc.""",Canceled - Sales Unable to KO,Jake Mitchell,Jeremy Adams,400,2025-09-30,2025-11-12,Self-Serve,No KO Scheduled,https://rev-io.lightning.force.com/lightning/r/Account/0016O00003ee6ViQAI/view,https://www.notion.so/a5a20bb211cd49dfb968b735499cebdd,https://rev-io.lightning.force.com/lightning/r/Opportunity/006PX00000QTSMxYAP/view
Hames Pro,SC,462.0,2025-08-25,2025-08-25,1,Hames Pro,Husam Zalmiyar,PSA 2.0,,,,Canceled - Functionality,Husam Zalmiyar,Kegan Ehlers,462,2025-08-25,2025-11-20,Self-Serve,,https://rev-io.lightning.force.com/lightning/r/Account/001PX00000I0RQsYAN/view,https://www.notion.so/4659420c06344d2f9ea89439f1e22f9a,https://rev-io.lightning.force.com/lightning/r/Opportunity/006PX00000PRmtNYAT/view
Urban Alarm Services,IA,430.0,2025-07-14,2025-07-14,1,Urban Alarm Services Early Access PSA Web,Patrick Davies,PSA 2.0,,,,Canceled - Client Ghosted,Patrick Davies,Jeremy Adams,430,2025-07-14,2025-11-21,SA Led,,https://rev-io.lightning.force.com/lightning/r/Account/001PX0000078IA1YAM/view,https://www.notion.so/42c24b067adf4c7797e9fb2293799728,https://rev-io.lightning.force.com/lightning/r/Opportunity/006PX00000OCifNYAT/view
Smarthome and Theater Systems,CT,500.0,2025-09-30,2025-09-30,1,Smarthome and Theater Systems,Jake Borah,PSA 2.0,,Software Limitations,needed to remain on his quoting platform for proposal functionality and did not want to pay $500/month for something he only used for ticketing,Canceled - Functionality,Jake Borah,Kegan Ehlers,500,2025-09-30,2025-12-04,Self-Serve,,https://rev-io.lightning.force.com/lightning/r/Account/001PX00000QDv9ZYAT/view,https://www.notion.so/1619473c4eb240fdb4a94a7bdd012bcf,https://rev-io.lightning.force.com/lightning/r/Opportunity/006PX00000QMDVwYAP/view
Shoreworx Communications,OH,520.0,2025-09-30,2025-09-30,1,Shoreworx Communications,Jake Borah,PSA 2.0,,Software Limitations,needed a dedicated mobile app for his technicians. also mentioned self-serve onboarding being a big burden for him and his team,Canceled - Functionality,Jake Borah,Kegan Ehlers,520,2025-09-30,2025-12-31,Self-Serve,,https://rev-io.lightning.force.com/lightning/r/Account/001PX00000RGwlIYAT/view,https://www.notion.so/137d6243b92b426cbdcaa24054efd568,https://rev-io.lightning.force.com/lightning/r/Opportunity/006PX00000QM5yBYAT/view
Hawkeye Protection,NY,315.0,2025-08-19,2025-08-19,1,Hawkeye Protection,Joseph Abarno,PSA 2.0,,Software Limitations,Rapid Response integration,Canceled - Functionality,Joe Abarno,Halle Taylor,315,2025-08-19,2026-01-01,SA Led,,https://rev-io.lightning.force.com/lightning/r/Account/001PX000001rf5pYAA/view,https://www.notion.so/9e13d3f4d7914754abba3371c600fb63,https://rev-io.lightning.force.com/lightning/r/Opportunity/006PX00000Pdj5LYAR/view
Fastrack Virtual Guard,FL,400.0,2025-09-22,2025-09-22,1,Fasttrack Virtual Guard 2,Joseph Abarno,PSA 2.0,,,,Canceled - Client Ghosted,Joe Abarno,Kegan Ehlers,400,2025-09-22,2026-01-05,Self-Serve,,https://rev-io.lightning.force.com/lightning/r/Account/001PX00000H9J3GYAV/view,https://www.notion.so/c4dc6c62622841a9ab02f8b4bad035e3,https://rev-io.lightning.force.com/lightning/r/Opportunity/006PX00000QhMkgYAF/view
Alarm24,MO,520.0,2025-08-19,2025-08-19,1,Alarm 24,Patrick Davies,PSA 2.0,,,,Canceled - Functionality,Patrick Davies,Nicole Hills,520,2025-08-19,2026-01-09,Self-Serve,,https://rev-io.lightning.force.com/lightning/r/Account/001PX0000075FNVYA2/view,https://www.notion.so/d3450b1be9af4b11b54857ed98fa1735,https://rev-io.lightning.force.com/lightning/r/Opportunity/006PX00000OJMF7YAP/view
Revolve Tech,NY,1160.0,2025-07-25,2025-07-25,1,Revolve Tech Early Access PSA,Joseph Abarno,PSA 2.0,,Software Limitations,"central station integration, timeclock, actual phone app for tech.",Canceled - Functionality,Joe Abarno,Nicole Hills,1160,2025-07-25,2026-01-12,SA Led,Client cancelled and went with another software,https://rev-io.lightning.force.com/lightning/r/Account/001PX00000AAZOXYA5/view,https://www.notion.so/c40b0e76c0024740ae3be53ec725c9b7,https://rev-io.lightning.force.com/lightning/r/Opportunity/006PX00000NaAEvYAN/view
CyberNetSolutions,MI,315.0,2025-07-30,2025-07-30,1,CyberNet Solutions 2.0,Jake Mitchell,PSA 2.0,,,,Canceled - Client Business,Jake Mitchell,Nicole Hills,315,2025-07-30,2026-01-12,SA Led,Client’s biz slowed way down,https://rev-io.lightning.force.com/lightning/r/Account/0016O00003ebgtYQAQ/view,https://www.notion.so/2677d9c0fc7040948b61f5f402776afd,https://rev-io.lightning.force.com/lightning/r/Opportunity/006PX00000OPUhpYAH/view
Patriot Cyber,CA,400.0,2025-09-30,2025-09-30,1,Patriot Cyber,Connor Flynn,PSA 2.0,,,,Canceled - Functionality,Connor Flynn,Jeremy Adams,400,,2026-01-14,Self-Serve,,https://rev-io.lightning.force.com/lightning/r/Account/001PX00000RNohNYAT/view,https://www.notion.so/b3fbce41967842b487580296cebfe55a,https://rev-io.lightning.force.com/lightning/r/Opportunity/006PX00000QyKfDYAV/view
Halt Security Services,AL,400.0,2025-07-10,2025-07-10,1,Halt Security Services,Connor Flynn,PSA 2.0,,Software Limitations,Rapid response inteegration,Canceled - Functionality,Connor Flynn,Nicole Hills,400,2025-07-10,2026-01-26,SA Led,Client RTS,https://rev-io.lightning.force.com/lightning/r/Account/001PX0000078HqkYAE/view,https://www.notion.so/8e07023ba6544475a03804e77fe8077f,https://rev-io.lightning.force.com/lightning/r/Opportunity/006PX00000O7ZmQYAV/view
Legion Technology,SC,430.0,2025-07-25,2025-07-25,1,Legion Technology,Husam Zalmiyar,PSA 2.0,,,,Canceled - Functionality,Husam Zalmiyar,Nicole Hills,430,,2026-02-17,SA Led,Client canceled due to functionality,https://rev-io.lightning.force.com/lightning/r/Account/001PX00000W8icbYAB/view,https://www.notion.so/0e764bfa227349baa0ee83d1a7998aad,https://rev-io.lightning.force.com/lightning/r/Opportunity/006PX00000ORr7GYAT/view
CompuCarolina,SC,400.0,2025-09-22,2025-09-22,1,CompuCarolina,Connor Flynn,PSA 2.0,,,,Canceled - Client Business,Connor Flynn,Jeremy Adams,400,2025-09-22,2026-02-25,Self-Serve,"I’ve been in and out of talks with Stephen since the beginning of this year, and he has decided to cancel. His employee count has decreased since he went on hold, and I tried to save but he made it clear that it no longer makes sense for him financially.",https://rev-io.lightning.force.com/lightning/r/Account/001PX00000Z789lYAB/view,https://www.notion.so/2b13fe72a8e94c839e74e433fb341fb7,https://rev-io.lightning.force.com/lightning/r/Opportunity/006PX00000Qeu9NYAR/view
"Surveillance Technology USA, Inc",FL,335.0,2025-08-28,2025-08-28,1,Surveillance Technology USA EARLY ACCESS 2.0,Jake Mitchell,PSA 2.0,,Failed Onboarding,never went through implementation fully - not ever committed to success and owner just moved on...,Canceled - Functionality,Jake Borah,Nicole Hills,335,2025-08-28,2026-03-01,SA Led,,https://rev-io.lightning.force.com/lightning/r/Account/001PX00000GgBnRYAV/view,https://www.notion.so/006a595cc64e4ea2bd4b5f1291dbcb84,https://rev-io.lightning.force.com/lightning/r/Opportunity/006PX00000PwOA3YAN/view
Highline Integrated Security,NY,315.0,2025-07-16,2025-07-16,1,Highline Int Security Early Access PSA,Joseph Abarno,PSA 2.0,,,,Canceled - Functionality,Joe Abarno,Halle Taylor,315,2025-07-16,2026-03-12,SA Led,,https://rev-io.lightning.force.com/lightning/r/Account/001PX00000JUCHKYA5/view,https://www.notion.so/df14910895904c36870a4774711c90bf,https://rev-io.lightning.force.com/lightning/r/Opportunity/006PX00000Mot4gYAB/view
Morgan Alarm Systems,TN,427.0,2025-07-31,2025-07-31,1,Morgan Alarm Systems Early Access PSA,Connor Flynn,PSA 2.0,,,,Canceled - Client Bandwidth,Connor Flynn,Nicole Hills,427,2025-07-31,2026-03-20,SA Led,Client canceled due to functionality/bandwidth - Potential win back,https://rev-io.lightning.force.com/lightning/r/Account/001PX0000078HwYYAU/view,https://www.notion.so/5757e78b0540497caaacd33368ab25a2,https://rev-io.lightning.force.com/lightning/r/Opportunity/006PX00000N7TeLYAV/view
Canitan,TX,345.0,2025-08-20,2025-08-20,1,Canitan LLC Early Access PSA,Andy Whisenant,PSA 2.0,,Failed Onboarding,early bird - early 'adoptor'.... never felt it was ready for them and they will take back up in a year to look again.,Canceled - Functionality,Andy Whisenant,Jeremy Adams,345,2025-08-20,2026-04-13,Hybrid,,https://rev-io.lightning.force.com/lightning/r/Account/001PX000008mTpVYAU/view,https://www.notion.so/cba0e826f2ca43bf8d79ebbb3d9e3aab,https://rev-io.lightning.force.com/lightning/r/Opportunity/006PX00000MxcFwYAJ/view
Semetra,CA,762.0,2025-09-23,2025-09-23,1,Semetra,Matt Salin,PSA 2.0,,,,Canceled - Functionality,Matt Salin,Halle Taylor,762,2025-09-22,2026-04-16,Self-Serve,03/24- will be coming back from hold on 04/15,https://rev-io.lightning.force.com/lightning/r/Account/0011500001HNQITAA5/view,https://www.notion.so/e1e70555a4574689b567f4162420d2fb,https://rev-io.lightning.force.com/lightning/r/Opportunity/006PX00000QOm7lYAD/view
MR PC Office,OH,400.0,2025-08-25,2025-08-25,1,MR PC Office,Andy Whisenant,PSA 2.0,,Failed Onboarding,"Mark went on hold due to Quickbooks not syncing, employees were getting kicked out of system, wasn't able to do monthly billing, and couldn't get clients and items into the system. Haven't be able to get ahold of Mark sense then and has ghosted onboarding as well.",Canceled - Client Ghosted,Andy Whisenant,Nicole Hills,400,2025-08-25,2026-04-27,SA Led,Client is currently on hold and billing is paused,https://rev-io.lightning.force.com/lightning/r/Account/001PX00000VvjWeYAJ/view,https://www.notion.so/2d4a06ecf54c4887b05b606a1344c59e,https://rev-io.lightning.force.com/lightning/r/Opportunity/006PX00000PeTuXYAV/view
Lavish Automation,CA,888.0,2025-07-24,2025-07-24,1,Lavish Automation,Reese Middleton,PSA 2.0,,,,Canceled - Functionality,Reese Middleton,Nicole Hills,888,2025-07-24,2026-05-01,SA Led,Client is on hold due to functionality,https://rev-io.lightning.force.com/lightning/r/Account/0016O00003ebhD5QAI/view,https://www.notion.so/f38199e096294a019b83b51c5ca4a576,https://rev-io.lightning.force.com/lightning/r/Opportunity/006PX00000OhjAXYAZ/view
Royce Bravo,FL,906.0,2025-07-27,2025-07-27,1,Royce Integrated Solutions (AIN) 3,Joseph Abarno,PSA 2.0,,,,Canceled - Client Ghosted,Joe Abarno,Kegan Ehlers,550,2025-07-27,2026-05-01,SA Led,,https://rev-io.lightning.force.com/lightning/r/Account/0016O00003ee5H9QAI/view,https://www.notion.so/1bd0c49da9cc4f1fab30c738e65ff667,https://rev-io.lightning.force.com/lightning/r/Opportunity/006PX00000OlIwaYAF/view
Royce Bravo,FL,550.0,2025-07-27,2025-07-27,1,Royce Bravo 2,Joseph Abarno,PSA 2.0,,,,Canceled - Client Ghosted,Joe Abarno,Kegan Ehlers,550,2025-07-27,2026-05-01,SA Led,,https://rev-io.lightning.force.com/lightning/r/Account/001PX00000WS22rYAD/view,https://www.notion.so/1bd0c49da9cc4f1fab30c738e65ff667,https://rev-io.lightning.force.com/lightning/r/Opportunity/006PX00000OlIF0YAN/view
Input Group,GA,400.0,2025-07-03,2025-07-03,1,Input Group,Joseph Abarno,PSA 2.0,,Failed Onboarding,Didn't put in the effort due to internal issues,Canceled - Client Ghosted,Joe Abarno,Kegan Ehlers,400,2025-07-03,2026-05-21,SA Led,non responsive,https://rev-io.lightning.force.com/lightning/r/Account/001PX00000Ui9xbYAB/view,https://www.notion.so/fdb73fd405d74ab0a160d67279f9aca9,https://rev-io.lightning.force.com/lightning/r/Opportunity/006PX00000NyNfdYAF/view
